TempsKey,ScenarioKey,ProduitKey,stock_initial_qte,stock_initial_prix,stock_initial_montant_brut,stock_initial_prix_net,stock_initial_montant_net,reception_qte,reception_pu,reception_montant,vente_qte,vente_pu,vente_montant,pertes_qte,stock_final_qte,stock_final_prix,stock_final_montant_brut,stock_final_prix_net,stock_final_montant_net
1.0,3,4,3327.057,1915.15,6371812.811,0.0,0.0,0.0,0.0,0.0,6.431,0.0,0.0,0.0,3320.626,1983.666,6587014.384,0.0,0.0
1.0,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1565.071,1565.071,1339.655,2096655.191,1339.655,2096655.191
1.0,3,7,0.0,0.0,0.0,0.0,0.0,6204.4,2273.873,14108014.646,6204.4,1777.533,11028527.383,0.0,0.0,0.0,0.0,0.0,0.0
1.0,3,8,16044.954,2420.503,38836854.788,1787.423,28679123.382,308416.724,2296.063,708144247.284,312113.157,1794.88,560205625.621,269.52,12079.001,2296.063,27734148.006,1650.208,19932862.874
1.0,3,9,0.0,1145.673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,3,10,547.84,422.516,231471.041,240.563,131790.034,18548.93,400.972,7437595.602,18686.066,313.448,5857107.585,0.0,410.704,400.972,164680.672,240.563,98800.186
1.0,3,16,24317.305,2353.889,57240234.512,1742.449,42369232.049,464564.809,2233.191,1037461752.549,485627.27,1745.731,847747747.804,0.0,3254.844,2233.191,7268696.941,1737.7,5655941.344
1.0,3,19,34018.932,2152.871,73238355.27,1824.33,62061758.216,269135.578,2067.739,556502065.643,293682.763,2057.748,604325092.596,-2763.09,12234.837,2077.292,25415328.316,1777.816,21751288.976
1.0,3,21,96798.135,2252.314,218019835.686,1824.33,176591741.625,754274.122,2250.077,1697174912.464,824151.264,2250.354,1854632135.575,8.242,26912.751,2250.332,60562612.574,1777.816,47845919.332
1.0,3,22,16448.618,1679.235,27621094.497,1284.78,21132855.434,13701.274,2281.631,31261255.77,25659.833,1783.598,45766838.996,641.314,3848.745,2281.631,8781417.103,1261.238,4854181.691
1.0,3,23,34063.804,200.0,6812760.8,0.0,0.0,0.0,0.0,0.0,15822.363,0.0,0.0,106.95,18348.391,200.0,3669678.2,0.0,0.0
1.0,3,24,15464.355,2625.954,40608689.657,1915.15,29616557.607,276061.187,2633.305,726953257.314,280457.542,2058.509,577324360.7,1374.257,9693.743,2633.305,25526580.27,1983.666,19229152.749
1.0,3,25,1767.932,2458.477,4346444.74,1825.85,3227996.901,9965.143,2331.469,23233426.096,8774.672,1822.558,17565124.601,72.02,2023.443,2331.469,4717595.463,1822.558,3687842.127
2.0,1,4,3320.626,1983.666,6587014.384,0.0,0.0,0.0,0.0,0.0,53.626,0.0,0.0,0.0,3267.0,1690.503,5522873.626,0.0,0.0
2.0,1,5,1565.071,1339.655,2096655.191,1339.655,2096655.191,0.0,0.0,0.0,0.0,,0.0,0.0,1565.071,0.0,0.0,1339.655,2096655.191
2.0,1,7,0.0,0.0,0.0,0.0,0.0,4692.1,0.0,0.0,4692.1,1467.264,6884548.482,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1,8,12079.001,2296.063,27734148.006,1650.208,19932862.874,240859.701,0.0,0.0,245847.6,1397.402,343547824.807,0.0,7091.102,0.0,0.0,1431.143,10148381.74
2.0,1,10,410.704,400.972,164680.672,240.563,98800.186,16256.752,0.0,0.0,14932.481,240.563,3592202.427,0.0,1734.975,0.0,0.0,240.563,417370.754
2.0,1,16,3254.844,2233.191,7268696.941,1737.7,5655941.344,369741.887,0.0,0.0,350733.242,1739.139,609973905.365,0.0,22263.489,0.0,0.0,1733.525,38594314.735
2.0,1,19,12234.837,2077.292,25415328.316,1777.816,25415328.316,190068.303,1698.955,322917505.938,165848.137,1721.836,285563296.828,0.0,36455.003,1721.836,62769537.427,1721.836,62769537.427
2.0,1,20,0.0,0.0,0.0,0.0,0.0,182820.269,1636.148,299120949.692,152734.08,1636.148,249895502.888,0.0,30086.189,1636.148,49225446.804,1636.148,49225446.804
2.0,1,21,26912.751,2250.332,60562612.574,1777.816,60562612.574,555022.272,1780.23,988067538.683,572218.065,1801.971,1031120472.797,0.0,9716.958,1801.971,17509678.46,1801.971,17509678.46
2.0,1,22,3848.745,2281.631,8781417.103,1261.238,4854181.691,11644.845,0.0,0.0,15198.59,1354.802,20591079.054,0.0,295.0,0.0,0.0,1279.835,377551.254
2.0,1,23,18348.391,200.0,3669678.2,0.0,0.0,0.0,0.0,0.0,-2247.81,0.0,0.0,0.0,20596.201,200.0,41119240.2,0.0,0.0
2.0,1,24,9693.743,2633.305,25526580.27,1983.666,19229152.749,207738.444,0.0,0.0,200248.26,1585.484,317490375.551,0.0,17183.927,0.0,0.0,1690.503,29049481.708
2.0,1,25,2023.443,2331.469,4717595.463,1822.558,3687842.127,8493.229,0.0,0.0,8774.672,1824.2,16006752.313,0.0,1742.0,0.0,0.0,1823.404,3176368.944
2.0,2,4,3320.0,2157.18,7161837.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3320.0,2157.18,7161837.6,0.0,0.0
2.0,2,5,0.0,0.0,0.0,1339.655,0.0,114199.142,0.0,0.0,107480.0,1483.034,159396494.32,0.0,6719.142,0.0,0.0,1339.655,9001332.712
2.0,2,7,0.0,0.0,0.0,0.0,0.0,6000.0,0.0,0.0,6000.0,1584.519,9507115.53,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2,8,24733.848,0.0,0.0,1739.56,43026012.263,464676.319,0.0,0.0,485000.0,1584.519,768491838.675,0.0,4410.167,0.0,0.0,1739.56,7671750.42
2.0,2,10,625.957,0.0,0.0,240.563,150582.171,37585.702,0.0,0.0,36700.0,240.563,8828662.1,0.0,1511.659,0.0,0.0,240.563,363649.274
2.0,2,16,14602.624,0.0,0.0,1739.445,25401921.689,672827.404,0.0,0.0,670000.0,1739.545,1165495150.0,0.0,17430.028,0.0,0.0,1739.545,30320318.3
2.0,2,19,35921.642,2082.867,7482002.483,2082.867,7482002.483,360000.0,2039.239,734126158.903,384384.0,2043.198,785372478.573,0.0,11537.642,2043.198,23573682.813,2043.198,23573682.813
2.0,2,21,70954.61,2228.017,158088053.53,2228.017,158088053.53,1220000.0,2170.526,2648042150.672,1203671.04,2173.686,2616403113.713,0.0,87283.57,2173.686,189727090.488,2173.686,189727090.488
2.0,2,22,15225.108,0.0,0.0,1198.044,18245827.14,13300.0,0.0,0.0,15500.0,1198.044,18575258.755,0.0,13025.108,0.0,0.0,1198.044,15609338.801
2.0,2,23,21543.71,200.0,4308742.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21543.71,200.0,4308742.0,0.0,0.0
2.0,2,24,16669.35,0.0,0.0,2157.18,35958788.606,214759.821,0.0,0.0,220000.0,1864.14,410110866.0,0.0,11429.171,0.0,0.0,2157.18,24654779.943
2.0,2,25,2047.0,0.0,0.0,1823.047,3731777.858,12800.0,0.0,0.0,12600.0,1823.047,22970395.748,0.0,2247.0,0.0,0.0,1823.047,4096387.242
2.0,3,4,3320.626,1983.666,6587014.384,0.0,0.0,0.0,0.0,0.0,53.626,0.0,0.0,0.0,3267.0,1690.503,5522873.626,0.0,0.0
2.0,3,5,1565.071,1339.655,2096655.191,1339.655,2096655.191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1565.071,0.0,0.0,1339.655,2096655.191
2.0,3,7,0.0,0.0,0.0,0.0,0.0,3192.1,2233.672,7130105.758,3192.1,1489.997,4756219.813,0.0,0.0,0.0,0.0,0.0,0.0
2.0,3,8,12079.001,2296.063,27734148.006,1650.208,19932862.874,147765.708,2044.412,302094000.277,150847.708,1383.871,208753828.301,0.0,8997.001,2044.412,18393577.64,1431.143,12875996.424
2.0,3,16,3254.844,2233.191,7268696.941,1737.7,5655941.344,225084.517,2482.014,558662927.726,200733.242,1743.334,349945151.108,0.0,27606.119,2482.014,68518774.5,1733.525,47855898.223
2.0,3,19,12234.837,2077.292,25415328.316,1777.816,25415328.316,130068.303,1707.706,222118401.618,102008.137,1750.798,178595635.705,663.607,39631.396,1739.482,68938094.229,1739.482,68938094.229
2.0,3,20,0.0,0.0,0.0,0.0,0.0,60820.269,1628.42,99040965.64,60820.0,1628.437,99041517.675,0.269,0.0,1628.42,0.0,1628.42,0.0
2.0,3,21,26912.751,2250.332,60562612.574,1777.816,60562612.574,435022.272,1778.145,773532725.729,388144.785,1805.673,700862626.979,3.882,73786.356,1805.655,133232711.324,1805.655,133232711.324
2.0,3,22,3848.745,2281.631,8781417.103,1261.238,4854181.691,6644.845,1828.245,12148406.634,8198.59,1418.809,11632235.73,0.0,2295.0,1828.245,4195822.961,1279.835,2937220.776
2.0,3,23,18348.391,200.0,3669678.2,0.0,0.0,0.0,0.0,0.0,-2247.81,0.0,0.0,0.0,20596.201,200.0,41119240.2,0.0,0.0
2.0,3,24,9693.743,2633.305,25526580.27,1983.666,19229152.749,130276.235,2360.494,307516289.348,112248.707,1600.224,179623093.987,0.0,27721.271,2360.494,65435897.759,1690.503,46862894.55
2.0,3,25,2023.443,2331.469,4717595.463,1822.558,3687842.127,6093.229,2604.734,15871239.844,6374.672,1824.499,11630583.849,0.0,1742.0,2604.734,4537463.37,1823.404,3176368.944
3.0,2,4,3267.0,1690.503,5522873.626,1690.503,5522873.626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3267.0,1690.503,5522873.626,1690.503,5522873.626
3.0,2,5,1565.071,0.0,0.0,1339.655,2096655.191,96500.434,0.0,0.0,84580.0,2007.544,169798049.631,0.0,13485.005,1339.655,0.0,1339.655,18065924.128
3.0,2,7,0.0,0.0,0.0,0.0,0.0,6000.0,0.0,0.0,6000.0,1340.024,8040141.757,0.0,0.0,0.0,0.0,0.0,0.0
3.0,2,8,7091.102,0.0,0.0,1431.143,10148381.74,382686.961,0.0,0.0,376000.0,1340.024,503848883.438,0.0,13778.063,1431.143,0.0,1431.143,19718380.651
3.0,2,10,1734.975,0.0,0.0,240.563,417370.754,36667.934,0.0,0.0,36300.0,240.563,8732436.9,0.0,2102.908,240.563,0.0,240.563,505881.958
3.0,2,16,22263.489,0.0,0.0,1733.225,38594314.735,538804.25,0.0,0.0,537000.0,1733.525,930902940.239,0.0,24067.739,1733.525,0.0,1733.525,41722027.961
3.0,2,19,36455.003,1721.836,62769537.427,1721.836,62769537.427,240000.0,1592.335,382208282.317,271855.68,1609.585,437574818.537,0.0,4599.323,1609.585,7403001.207,1609.585,7403001.207
3.0,2,20,30086.189,1636.148,49225446.804,1636.148,49225446.804,300000.0,1557.0,467100000.0,316787.52,1564.214,495523482.219,0.0,13298.669,1564.214,20801964.584,1564.214,20801964.584
3.0,2,21,9716.958,1801.971,17509678.46,1801.971,17509678.46,728000.0,1720.274,1252359180.218,723171.84,1721.35,1244831624.283,0.0,14545.118,1721.35,25037234.394,1721.35,25037234.394
3.0,2,22,295.0,0.0,0.0,1279.835,377551.254,19800.0,0.0,0.0,13800.0,1279.835,17661719.697,0.0,6295.0,1279.835,0.0,1279.835,8056559.818
3.0,2,23,20596.201,200.0,41119240.2,200.0,41119240.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20596.201,200.0,41119240.2,200.0,41119240.2
3.0,2,24,17183.927,0.0,0.0,1690.503,29049481.708,174401.042,0.0,0.0,174500.0,1479.605,258191057.942,0.0,17084.969,1690.503,0.0,1690.503,28882193.092
3.0,2,25,1742.0,0.0,0.0,1823.404,3176368.944,13500.0,0.0,0.0,14300.0,1823.404,26074670.432,0.0,942.0,1823.404,0.0,1823.404,1717646.122
